system,cpu,memory,disk,timestamp
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 26.7}","{'Total': 51539607552, 'Disponible': 22634250240, ""Pourcentage d'utilisation"": 46.92}","{'/': 12.6, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:26:49.733091
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.7}","{'Total': 51539607552, 'Disponible': 22485975040, ""Pourcentage d'utilisation"": 47.71}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:34:50.402813
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 8.3}","{'Total': 51539607552, 'Disponible': 22106947584, ""Pourcentage d'utilisation"": 48.44}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:35:36.748620
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 25.0}","{'Total': 51539607552, 'Disponible': 22703702016, ""Pourcentage d'utilisation"": 47.27}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:01.053523
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 8.4}","{'Total': 51539607552, 'Disponible': 22572302336, ""Pourcentage d'utilisation"": 47.54}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:02.059803
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 9.7}","{'Total': 51539607552, 'Disponible': 22569189376, ""Pourcentage d'utilisation"": 47.54}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:03.066606
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 8.1}","{'Total': 51539607552, 'Disponible': 22567731200, ""Pourcentage d'utilisation"": 47.54}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:04.070911
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 7.2}","{'Total': 51539607552, 'Disponible': 22560260096, ""Pourcentage d'utilisation"": 47.54}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:05.074653
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.3}","{'Total': 51539607552, 'Disponible': 22563405824, ""Pourcentage d'utilisation"": 47.54}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:06.080538
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 10.6}","{'Total': 51539607552, 'Disponible': 22594551808, ""Pourcentage d'utilisation"": 47.48}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:07.084852
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.9}","{'Total': 51539607552, 'Disponible': 22597042176, ""Pourcentage d'utilisation"": 47.48}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:08.090943
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.2}","{'Total': 51539607552, 'Disponible': 22607233024, ""Pourcentage d'utilisation"": 47.46}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:09.097196
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 7.3}","{'Total': 51539607552, 'Disponible': 22597107712, ""Pourcentage d'utilisation"": 47.48}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:10.102973
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 0.0}","{'Total': 51539607552, 'Disponible': 22453633024, ""Pourcentage d'utilisation"": 47.75}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:44.518388
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.8}","{'Total': 51539607552, 'Disponible': 22357147648, ""Pourcentage d'utilisation"": 47.94}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:45.523720
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 9.8}","{'Total': 51539607552, 'Disponible': 22403072000, ""Pourcentage d'utilisation"": 47.85}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:46.526113
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 3.9}","{'Total': 51539607552, 'Disponible': 22419947520, ""Pourcentage d'utilisation"": 47.81}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:47.531492
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.2}","{'Total': 51539607552, 'Disponible': 22549938176, ""Pourcentage d'utilisation"": 47.58}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:48.535786
