system,cpu,memory,disk,timestamp
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 4.6}","{'Total': 51539607552, 'Disponible': 22599811072, ""Pourcentage d'utilisation"": 47.48}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:49.542639
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 4.7}","{'Total': 51539607552, 'Disponible': 22610083840, ""Pourcentage d'utilisation"": 47.44}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:50.548563
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 2.9}","{'Total': 51539607552, 'Disponible': 22613770240, ""Pourcentage d'utilisation"": 47.44}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:51.555487
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 5.1}","{'Total': 51539607552, 'Disponible': 22619013120, ""Pourcentage d'utilisation"": 47.44}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:52.562315
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.4}","{'Total': 51539607552, 'Disponible': 22617407488, ""Pourcentage d'utilisation"": 47.44}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:53.569911
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 55.6}","{'Total': 51539607552, 'Disponible': 22598926336, ""Pourcentage d'utilisation"": 47.48}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:00.019497
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 5.3}","{'Total': 51539607552, 'Disponible': 22604152832, ""Pourcentage d'utilisation"": 47.46}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:05.021906
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 21.4}","{'Total': 51539607552, 'Disponible': 22586490880, ""Pourcentage d'utilisation"": 47.5}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:14.854365
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 5.4}","{'Total': 51539607552, 'Disponible': 22469033984, ""Pourcentage d'utilisation"": 47.73}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:15.858817
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 7.6}","{'Total': 51539607552, 'Disponible': 22472212480, ""Pourcentage d'utilisation"": 47.73}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:16.864788
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.7}","{'Total': 51539607552, 'Disponible': 22472212480, ""Pourcentage d'utilisation"": 47.73}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:17.871395
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 3.6}","{'Total': 51539607552, 'Disponible': 22469230592, ""Pourcentage d'utilisation"": 47.73}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:18.878410
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 3.2}","{'Total': 51539607552, 'Disponible': 22472376320, ""Pourcentage d'utilisation"": 47.73}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:19.884268
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 4.0}","{'Total': 51539607552, 'Disponible': 22514204672, ""Pourcentage d'utilisation"": 47.65}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:20.886350
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 2.6}","{'Total': 51539607552, 'Disponible': 22518317056, ""Pourcentage d'utilisation"": 47.65}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:21.890908
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 8.6}","{'Total': 51539607552, 'Disponible': 22515662848, ""Pourcentage d'utilisation"": 47.65}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:22.897096
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 4.2}","{'Total': 51539607552, 'Disponible': 22511091712, ""Pourcentage d'utilisation"": 47.65}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:23.900417
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 3.2}","{'Total': 51539607552, 'Disponible': 22510600192, ""Pourcentage d'utilisation"": 47.65}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:24.906409
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 4.3}","{'Total': 51539607552, 'Disponible': 22522249216, ""Pourcentage d'utilisation"": 47.65}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:37:25.912970
